date,open,high,low,close,volume
2020-01-01,12202.15,12222.05,12165.4,12189.7,0
2020-01-02,12198.55,12289.75,12198.2,12282.35,0
2020-01-03,12261.1,12265.5,12192.4,12222.2,0
2020-01-06,12170.6,12175.45,11974.35,11988.1,0
2020-01-07,12079.1,12151.8,12005.7,12060.3,0
2020-01-08,11939.1,12044.45,11931.35,12021.6,0
2020-01-09,12153.15,12224.0,12136.5,12214.45,0
2020-01-10,12271.0,12311.05,12213.6,12256.5,0
2020-01-13,12296.7,12337.4,12287.0,12329.6,0
2020-01-14,12333.1,12373.65,12309.35,12360.05,0
2020-01-15,12349.4,12355.0,12279.05,12340.35,0
2020-01-16,12347.1,12389.0,12315.85,12354.05,0
2020-01-17,12328.4,12385.25,12322.25,12346.1,0
2020-01-20,12430.5,12430.5,12217.25,12230.75,0
2020-01-21,12195.3,12230.05,12162.55,12169.65,0
2020-01-22,12218.35,12224.8,12088.8,12108.15,0
2020-01-23,12123.75,12188.5,12095.65,12179.9,0
2020-01-24,12174.55,12272.05,12150.15,12252.15,0
2020-01-27,12197.1,12216.55,12107.05,12109.9,0
2020-01-28,12148.1,12162.85,12025.8,12061.95,0
2020-01-29,12114.9,12169.4,12104.0,12132.0,0
2020-01-30,12147.75,12148.7,12011.0,12023.8,0
2020-01-31,12100.4,12100.55,11946.15,11966.45,0
2020-02-01,11939.0,12016.65,11633.75,11643.65,0
2020-02-03,11627.45,11749.85,11615.75,11724.6,0
2020-02-04,11786.25,11985.6,11786.25,11981.3,0
2020-02-05,12005.85,12097.7,11954.05,12091.95,0
2020-02-06,12120.0,12160.45,12085.0,12133.25,0
2020-02-07,12151.15,12151.15,12074.0,12086.6,0
2020-02-10,12102.35,12102.4,11990.8,12035.3,0
2020-02-11,12108.4,12172.0,12099.3,12110.45,0
2020-02-12,12151.0,12231.55,12145.05,12203.9,0
2020-02-13,12219.55,12219.65,12140.0,12168.95,0
2020-02-14,12190.15,12246.5,12091.65,12113.35,0
2020-02-17,12131.8,12159.35,12037.2,12050.15,0
2020-02-18,12028.25,12028.9,11908.3,12008.05,0
2020-02-19,12090.6,12134.25,12042.2,12130.95,0
2020-02-20,12119.0,12151.2,12071.9,12083.1,0
2020-02-24,12012.55,12012.55,11813.6,11835.85,0
2020-02-25,11877.5,11882.9,11780.0,11814.35,0
2020-02-26,11738.55,11782.6,11640.3,11677.35,0
2020-02-27,11661.25,11661.25,11536.95,11619.95,0
2020-02-28,11382.0,11382.0,11175.6,11217.4,0
2020-03-02,11387.35,11432.8,11036.7,11149.2,0
2020-03-03,11217.55,11341.7,11152.75,11329.15,0
2020-03-04,11351.35,11354.95,11083.25,11256.3,0
2020-03-05,11306.05,11388.15,11244.85,11258.0,0
2020-03-06,10942.65,11034.5,10831.3,10981.0,0
2020-03-09,10742.05,10743.7,10295.25,10457.6,0
2020-03-11,10334.3,10544.75,10334.3,10454.1,0
2020-03-12,10039.95,10039.95,9508.4,9630.65,0
2020-03-13,9107.6,10156.85,8476.15,10020.45,0
2020-03-16,9587.8,9601.75,9165.35,9200.05,0
2020-03-17,9285.4,9403.6,8916.7,8965.3,0
2020-03-18,9088.45,9125.9,8408.85,8539.3,0
2020-03-19,8063.3,8574.55,7834.6,8267.9,0
2020-03-20,8284.45,8882.6,8178.4,8744.35,0
2020-03-23,7945.7,8355.55,7584.5,7636.65,0
2020-03-24,7848.3,8033.8,7512.25,7852.45,0
2020-03-25,7735.15,8375.65,7714.95,8300.45,0
2020-03-26,8451.0,8748.15,8309.95,8653.5,0
2020-03-27,8949.1,9038.5,8523.7,8673.5,0
2020-03-30,8385.95,8575.25,8244.45,8291.7,0
2020-03-31,8529.35,8677.55,8358.75,8556.15,0
2020-04-01,8584.1,8587.6,8199.7,8262.65,0
2020-04-03,8356.55,8356.55,8056.2,8106.45,0
2020-04-07,8446.3,8818.25,8361.95,8779.3,0
2020-04-08,8688.9,9130.5,8658.35,8752.4,0
2020-04-09,8973.05,9127.85,8904.75,9098.55,0
2020-04-13,9103.95,9111.55,8912.9,9006.65,0
2020-04-15,9196.4,9260.55,8874.5,8942.6,0
2020-04-16,8851.25,9053.0,8823.2,9016.6,0
2020-04-17,9323.45,9323.45,9092.1,9291.35,0
2020-04-20,9390.2,9390.2,9231.05,9262.0,0
2020-04-21,9016.95,9044.0,8910.45,8981.1,0
2020-04-22,9026.75,9209.5,8946.65,9193.35,0
2020-04-23,9232.35,9343.15,9171.5,9302.9,0
2020-04-24,9163.9,9296.1,9142.25,9174.0,0
2020-04-27,9259.7,9376.45,9259.2,9289.6,0
2020-04-28,9389.8,9403.1,9260.3,9401.7,0
2020-04-29,9408.6,9599.3,9396.1,9536.8,0
2020-04-30,9753.5,9889.05,9734.3,9851.85,0
2020-05-04,9533.5,9533.5,9267.4,9305.7,0
2020-05-05,9429.4,9450.0,9191.05,9222.9,0
2020-05-06,9226.8,9346.55,9117.35,9287.8,0
2020-05-07,9234.05,9277.3,9178.95,9212.95,0
2020-05-08,9376.95,9380.85,9238.35,9249.5,0
2020-05-11,9348.15,9439.5,9220.45,9247.2,0
2020-05-12,9168.85,9240.35,9044.1,9209.65,0
2020-05-13,9584.2,9584.2,9351.45,9383.25,0
2020-05-14,9213.95,9280.65,9120.25,9150.2,0
2020-05-15,9182.4,9182.4,9050.1,9128.95,0
2020-05-18,9158.3,9158.3,8807.5,8830.4,0
2020-05-19,8961.7,9029.9,8855.95,8890.55,0
2020-05-20,8889.15,9092.7,8877.4,9085.15,0
2020-05-21,9079.45,9177.8,9056.6,9102.2,0
2020-05-22,9067.9,9148.85,8969.2,9051.5,0
2020-05-26,9099.75,9160.85,8997.0,9046.1,0
2020-05-27,9082.2,9333.35,9004.7,9317.4,0
